Argentina	1.09£38	1.1£440	1.11£1300	1.12£5091	1.13£144	1.14£179
Poland	1.98£1	2£834	2.02£44	2.06£237	2.08£173	2.1£21
Mexico	1.99£10	2£80	2.02£22	2.04£17	2.06£16	2.08£160
Saudi Arabia	7.6£10	7.8£66	8£7	8.2£8	9£11	9.2£4
