Morocco	1.1€43	1.11€106	1.12€115	1.14€612	1.15€43	
Croatia	1.2€18	1.3€583	1.35€587	1.43€161	1.47€13	1000€4
Belgium	1.72€81	2.38€136	2.54€155	2.62€35	2.66€76	2.68€44
