Spain	1.14£1374	1.15£30	1.16£265	1.18£825	1.22£6	1.23£300
Germany	1.16£270	1.17£547	1.18£249	1.23£520	1.24£249	1.28£5
Japan	4£74	4.1£5	4.2£58	4.4£9	4.5£101	4.6£1
Costa Rica	13£23	14£261	16.5£2	18£69	18.5£1	19£5
