Brazil		1.01£13454	1.02£1705	1.03£838	1.04£244	1.06£718
Switzerland	1.63£193	1.66£172	1.68£20	1.69£147	1.7£501	1.71£50
Serbia	2.52£335	2.56£1	2.58£316	2.6£13	2.62£12	2.66£81
Cameroon	14.5£22	17.5£2	25£10	28£1	32£114	34£13
