France	2.16€41573	2.18€64305	2.2€104327	2.22€103282	2.24€27344	2.26€3306
Argentina	2.68€5741	2.7€3446	2.72€5854	2.74€17815	2.76€10442	2.78€9716
Croatia	9.2€452	9.4€7853	9.6€5765	9.8€7783	10€11061	10.5€16127
Morocco	12€3238	12.5€9731	13€19765	13.5€5371	14€13246	14.5€5926
