Switzerland	1.49€586	1.6€200	1.62€576	1.64€1074	1.65€116	1.69€97
Serbia	2.7€269	2.72€296	2.78€56	2.9€50	2.94€220	3€59
Cameroon	1.01€15	25€19	26€29	28€252	1000€7	
