Kylian Mbappe	3.4€112	3.45€96	3.5€33	3.6€82	3.65€23	3.7€81
Lionel Messi	9.2€44	9.4€33	9.6€36	10€25	11€13	36€24
Richarlison	11.5€26	12€19	13.5€38	15€33	17€24	28€28
Cody Gakpo	17€41	17.5€49	18€49	21€25	23€34	27€11
Alvaro Morata	19€11	19.5€13	21€23	24€12	30€15	46€35
Cristiano Ronaldo	19.5€50	20€59	26€12	34€51	44€45	48€26
Bruno Fernandes	32€24	34€23	36€15	60€16	70€17	75€24
Olivier Giroud	25€20	26€11	30€13	38€15	46€20	50€1
Ferran Torres	32€27	34€129	36€14	40€20	75€19	900€12
Enner Valencia	34€12	38€20	40€18	48€50	50€12	900€13
Bukayo Saka	17€13	32€15	34€12	50€25	55€12	60€23
Harry Kane	13€12	25€13	32€24	55€19	65€27	100€12
Vinicius Junior	8.2€20	50€11	65€15	340€13	1000€2	
Andrej Kramaric	50€12	60€25	65€26	1000€12		
Memphis Depay	12€18	55€11	60€31	130€16	180€12	1000€6
Robert Lewandowski	8.6€21	80€13	85€14	570€12		
Darwin Nunez	6.2€11	40€23	90€18	1000€6		
Niclas Fullkrug	80€12	90€15	95€13	170€13	870€2	
Neymar	44€32	75€47	85€15	180€12		
Lautaro Martinez	50€12	75€19	95€13	1000€8		
Aleksandar Mitrovic	48€11	80€15	100€13	440€4		
Raheem Sterling	1.02€238	85€23	110€12	1000€7		
Raphinha	2.02€584	90€13	120€13	1000€10		
Rafael Leao	1.01€1167	50€12	120€12	230€1		
Joao Felix	15€31	75€17	120€33	1000€5		
Jamal Musiala		1.01€1166	100€15	1000€10		
Serge Gnabry	2€13	100€11	130€14	750€1		
Michy Batshuayi	1.01€1156	9€15	100€20	900€4		
Kai Havertz	1.01€1156	1.02€236	100€16			
Breel Embolo	1.01€1168	85€11	90€14	1000€5		
Romelu Lukaku	85€15	100€12	230€19	1000€8		
Dani Olmo		2€12	75€21	1000€1		
Gabriel Jesus	1.01€1165	60€11	85€22	1000€2		
Dusan Vlahovic	6€12	100€81	110€26			
Mehdi Taremi		1.01€1164	200€37	1000€6		
Phil Foden	100€11	110€11	160€12			
