Kylian Mbappe	1.64€164	1.65€40	1.66€291	1.7€66	1.71€24	1.72€117
Luka Modric		1.01€1159	2€11			
Gabriel Martinelli		1.01€1159	2€12			
Richarlison	9.2€11	9.4€34	9.6€45	9.8€23	10€120	10.5€250
Lionel Messi	12€15	14€32	14.5€14	15€27	15.5€92	16€296
Marcus Rashford	28€64	30€18	32€35	38€22	40€31	60€15
Olivier Giroud	26€15	29€24	30€29	36€114	44€11	55€2
Goncalo Ramos	28€12	30€105	32€74	34€12	36€85	38€46
Bukayo Saka	34€13	36€20	38€30	44€43	46€17	48€17
Cody Gakpo	25€12	40€21	50€23	65€14	70€93	110€35
Harry Kane	44€19	50€15	55€39	65€12	75€22	80€20
Rafael Leao	1.01€1162	75€11	110€11	780€12	1000€4	
Neymar	75€120	85€16	90€18	110€37	120€66	130€15
Bruno Fernandes	40€27	80€37	90€30	390€15	1000€10	
Vinicius Junior	1.01€2329	16€12	90€22	340€12	440€5	
Gabriel Jesus	1.01€1162	9€59	100€18			
Raheem Sterling		1.01€1160	100€17			
Pedro Abreu dos Santos			1.01€1168			
Steven Bergwijn		1.01€1162	100€14			
Julian Alvarez	75€11	80€26	100€76	180€28	490€19	
Raphinha		1.01€1162	100€20			
Andrej Kramaric	48€11	120€69	130€18	1000€9		
Cristiano Ronaldo	20€23	150€51	180€16	1000€9		
Phil Foden	85€13	140€27	150€71	1000€11		
Memphis Depay	21€17	60€15	160€23	1000€4		
Lautaro Martinez	18€20	100€13	220€13	500€2		
Joao Felix	160€37	220€16	280€37	1000€1		
Antoine Griezmann	1.01€1166	100€13	360€14			
Angel Di Maria		1.01€1164	500€11			
Marko Livaja	2€4	100€14	510€16			
Youssef En-Nesyri		1.01€1165	610€23			
Ousmane Dembele	1.02€1159	2€126	700€14			
Bernardo Silva		1.01€1162	1000€17			
Sofiane Boufal		1.01€1162	1000€22			
Jack Grealish		1.01€1162	1000€18			
Kingsley Coman		1.01€1159	1000€30			
Wout Weghorst		1.01€1165	1000€23			
Luuk de Jong		1.01€1159	1000€26			
Ivan Perisic		1.01€1159	1000€14			
Hakim Ziyech		1.01€1164	1000€20			
Andre Silva		1.01€1163	1000€21			
Mason Mount		1.01€1163	1000€20			
Achraf Hakimi		1.01€1159	1000€25			
James Maddison		1.01€1162	1000€24			
Vincent Janssen	1.01€1159	50€27	1000€29			
Davy Klaassen			1000€24			
