Brazil		1.01£13350	1.03£155	1.04£8803	1.05£764	1.06£718
Switzerland	1.52£540	1.58£500	1.66£100	1.67£96	1.71£1334	1.72£77
Serbia	2.38£50	2.4£7	2.58£316	2.6£61	2.74£1	2.8£3
Cameroon	10£1	13.5£22	25£10	26£6	38£225	40£21
