Argentina	1.09€100	1.1€433	1.11€3855	1.12€6625	1.13€185	1.14€521
Poland	1.93€28	1.94€51	1.98€381	2.02€351	2.04€115	2.06€24
Mexico	2.06€843	2.08€193	2.1€18	2.16€30	2.18€304	2.2€12
Saudi Arabia	6.8€34	7€28	7.4€89	7.8€64	8€89	8.2€116
