Brazil	1.8€35	1.81€161	1.85€62	1.89€132	1.9€115	1.92€23
France	2.88€218	2.96€35	2.98€201	3.05€43	3.1€29	3.15€28
Argentina	3.5€373	3.55€33	3.6€37	3.8€59	3.85€11	3.9€13
Spain	4€130	4.1€214	4.2€69	4.7€342	4.8€11	4.9€11
England	3.55€23	3.8€207	4€140	4.5€119	4.6€27	6€34
Portugal	1.01€1223	6€236	6.4€85	7.2€16	7.4€24	7.6€110
Netherlands	6€126	6.8€187	7€290	8€83	8.6€11	1000€1
Croatia	13.5€20	15€63	15.5€86	17.5€11	18€23	700€6
Morocco		1.01€1161	27€19	48€13	50€50	700€10
Switzerland	25€11	26€19	30€15	34€21	700€9	
