France	2.14€1229	2.16€41102	2.18€106343	2.2€145491	2.22€60586	2.24€26723
Argentina	2.68€9569	2.7€42475	2.72€23167	2.74€19379	2.76€13535	2.78€821
Croatia	9€7085	9.2€29676	9.4€29691	9.6€28515	9.8€24566	10€15554
Morocco	12.5€9067	13€20676	13.5€27948	14€20360	14.5€6529	15€1777
