Brazil	1.9£3	1.98£30	1.99£127	2.1£43	2.16£452	2.2£7
Argentina	2.28£30	2.3£160	2.32£229	2.38£5	2.4£509	2.48£25
France	2.52£320	2.6£453	2.62£18	2.68£371	2.7£11	2.72£20
Spain	2.98£30	3£30	3.05£185	3.1£25	3.3£20	5£2
England	3.1£74	3.15£5	3.2£2	3.4£170	3.45£356	3.5£62
Germany	3.35£10	3.45£64	3.5£24	3.65£28	3.7£2	3.75£168
Netherlands	3.25£133	3.4£114	3.5£70	3.7£346	3.75£4	3.85£4
Portugal	3.75£3	3.9£75	3.95£48	4£7	4.5£10	5£2
Belgium	4.4£44	4.5£211	4.6£168	4.7£5	4.8£2	4.9£7
Denmark	5.1£3	5.3£69	5.4£71	5.8£133	5.9£2	6£10
Uruguay	7.4£10	7.6£65	7.8£120	8£1	8.6£10	9£25
Croatia	8.6£162	8.8£8	9£146	9.4£1	10£8	11.5£10
Serbia	10£47	10.5£6	11£52	11.5£10	12£20	14£5
Switzerland	11£50	12£82	12.5£22	15£10	16£64	17.5£6
Senegal	12.5£14	13£9	14£46	15£15	15.5£10	16£7
USA	14.5£40	15£40	15.5£114	16£7	16.5£130	24£2
Ecuador		10£10	12£20	17£106	17.5£5	20£2
Mexico	14.5£37	15.5£51	17£18	19.5£57	40£2	50£20
Poland	16.5£19	17£4	17.5£43	20£2	22£51	27£2
Wales	19£23	20£2	21£58	29£5	34£3	40£2
Japan	29£24	30£61	32£45	36£6	38£1	40£4
Morocco	25£26	30£10	32£48	48£3	50£30	55£22
Ghana		42£8	44£5	60£63	85£3	150£10
Canada	46£1	48£4	50£8	55£119	75£4	100£10
South Korea	44£12	50£8	55£1	75£5	110£3	120£10
Cameroon	38£9	44£13	65£4	90£5	95£6	130£2
Iran			1.01£3	80£6	130£5	200£8
Australia	65£8	80£5	90£3	110£1	250£7	
Tunisia	55£10	75£1	80£2	100£6	120£5	250£9
Qatar	46£2	100£5	200£3	700£1		
Saudi Arabia		1.01£3	80£1	160£25	170£3	280£8
Costa Rica	140£1	200£1	210£5	380£1	400£1	500£3
