Brazil	3.6£1151	3.65£6516	3.7£17014	3.75£17592	3.8£7875	3.85£3960
France	6.6£674	6.8£3302	7£5521	7.2£7433	7.4£5996	7.6£2015
Spain	8.2£5088	8.4£1733	8.6£2976	8.8£1617	9£1073	9.2£90
Argentina	8.6£1218	8.8£734	9£9549	9.2£1153	9.4£3377	9.6£4876
England	9.8£349	10£4583	10.5£9931	11£1284	11.5£1085	12£393
Portugal	14£1050	14.5£1300	15£7035	15.5£974	16£1292	16.5£60
Netherlands	16£549	16.5£588	17£1847	17.5£955	18£654	18.5£926
Belgium	24£456	25£1812	26£956	28£156	29£171	30£136
Germany	26£175	27£254	28£79	29£43	30£104	32£760
Denmark	60£48	65£91	70£280	75£278	80£520	85£51
Uruguay	65£163	70£73	75£808	80£21	85£204	90£189
Japan	85£55	90£54	100£193	110£4	130£828	150£3
Croatia	100£695	110£364	120£579	130£84	140£91	150£84
Switzerland	100£553	110£11	120£135	140£256	150£14	160£10
Ecuador	110£2	130£38	140£159	160£289	170£77	180£49
Serbia	160£51	170£90	180£70	190£1	200£36	210£10
USA	190£1	200£272	210£52	220£10	230£254	240£31
Poland	220£55	230£52	240£18	290£5	300£3	310£5
Senegal	360£23	370£17	380£21	410£19	420£16	430£15
Morocco	390£9	400£10	410£19	430£21	450£5	570£2
Australia	470£16	480£11	490£9	500£275	540£11	550£30
South Korea	490£5	500£37	510£6	520£2	530£48	540£54
Iran	510£9	520£42	530£1	550£3	560£37	570£24
Saudi Arabia	540£15	560£7	580£1	650£1	670£5	680£23
Canada	470£11	480£20	500£8	540£35	550£58	560£8
Mexico	620£7	630£5	640£1	770£3	780£11	790£21
Cameroon	600£2	700£1	1000£512			
Ghana	430£2	750£30	1000£198			
Wales	330£21	500£2	1000£332			
Tunisia	550£2	600£1	1000£393			
Costa Rica	700£2	990£8	1000£815			
