Argentina	1.08€35	1.09€406	1.1€663	1.11€94	1.12€1635	1.14€499
France	1.13€65	1.14€581	1.15€12	1.17€26	1.18€1062	1.25€300
Brazil	1.18€314	1.19€285	1.2€151	1.25€110	1.28€42	1.29€72
Spain	1.21€35	1.22€2200	1.25€32	1.27€48	1.28€304	1.35€308
England	1.24€406	1.26€224	1.27€14	1.31€52	1.32€300	1.34€201
Netherlands	1.28€6	1.42€1491	1.44€64	1.5€111	1.65€39	
Croatia	1.47€35	1.48€1314	1.5€173	1.56€931	1.58€10	
Portugal	1.44€1135	1.48€22	1.51€14	1.54€60	1.55€5	
Japan	2.68€35	2.7€167	2.86€34	3.8€116	3.85€44	4€200
USA	2.74€278	3€19	3.05€18	3.25€96	3.4€15	3.6€11
Senegal	4€164	4.3€71	4.4€29	5.8€14	38€105	
Switzerland	4.2€186	4.3€39	4.4€141	4.8€14	4.9€4	
Morocco	4.2€50	4.3€35	4.5€15	5€173	5.3€12	5.4€59
Poland	6.6€22	6.8€29	7€16	8.2€26	9€17	10€100
Uruguay	6.8€21	7€29	7.4€42	9.8€11	10€90	
Serbia	6.8€83	8.4€16	8.6€220	9€41	13€6	
Australia	8€98	8.2€32	8.6€47	13€15	14€50	15€22
Ghana	5.1€8	9.8€55	10€30	17€22		
South Korea		17€16	30€21	100€5		
Cameroon			55€15	250€2		
