Netherlands	1.13£105	1.14£80	1.15£2173	1.16£240	1.17£14	1.19£244
Ecuador	1.55£13	1.56£158	1.57£85	1.6£799	1.62£18	1.63£216
Senegal	2.04£5	2.06£135	2.12£285	2.14£43	2.16£9	2.18£97
Qatar	20£1	21£34	22£25	32£17	34£40	46£2
