Achraf Hakimi		1.01£1000	1000£67			
Gyasi Zardes		1.01£1000	1000£70			
Paul Arriola		1.01£1000	1000£70			
Seifeddine Jaziri		1.01£1000	1000£69			
Akram Afif		1.01£1000	1000£51			
Thomas Partey		1.01£1000	1000£70			
Junior Hoilett		1.01£1000	1000£69			
Saleh Al-Shehri		1.01£1000	1000£50			
Arkadiusz Milik		1.01£1000	1000£51			
Kieffer Moore		1.01£1000	1000£12			
Mohammed Kudus		1.01£1000	1000£57			
James Maddison	1.01£1000	2£2	1000£50			
Vincent Janssen	50£20	95£3	1000£55			
Aaron Ramsey			1000£55			
Junya Ito	2£2	400£7	1000£24			
Daizen Maeda		2£2	1000£15			
Davy Klaassen	600£1	700£9	1000£13			
