Belgium	1.13£12	1.14£4	1.15£126	1.16£490	1.18£303	1.19£5
Croatia	1.86£18	1.87£20	1.88£7	1.96£500	1.97£4	1.99£73
Morocco	2.56£3	2.62£3	2.66£307	2.7£15	2.88£7	2.9£13
Canada	3.85£11	3.9£219	4£166	4.2£1	4.3£20	4.5£1
