Kylian Mbappe	1.65€64	1.67€90	1.68€350	1.69€515	1.7€55	1.72€117
Lionel Messi	5.4€14	5.6€14	5.7€25	5.9€116	6€164	6.2€347
Goncalo Ramos	22€52	23€53	24€81	25€60	27€31	29€111
Olivier Giroud	6.2€12	9.2€12	21€38	23€18	29€15	32€17
Marcus Rashford	15€19	24€13	25€29	38€11	42€12	46€15
Bukayo Saka	29€11	32€15	38€37	48€16	55€38	60€27
Harry Kane	18€26	30€44	55€15	70€14	120€17	170€32
Bruno Fernandes		1.01€2334	60€21	500€12	670€12	900€12
Julian Alvarez	1.01€1170	48€12	85€19	570€15		
Rafael Leao	1.01€1165	100€11	110€23	800€16	1000€1	
Phil Foden		1.01€1170	100€17	490€11	1000€4	
Andrej Kramaric		1.01€1164	100€22	1000€3		
Cristiano Ronaldo	5€125	9.2€12	32€12	250€16	1000€6	
Lautaro Martinez	18€20	100€12	210€14			
Joao Felix	1.01€1166	100€11	160€42	1000€6		
Marko Livaja	2€4	100€11	200€17	540€9		
Antoine Griezmann		1.01€1170	100€15	500€7		
Raheem Sterling		1.01€1162	2€16	500€5		
Bernardo Silva		1.01€1162	2€13			
Angel Di Maria		1.01€1162	260€13			
Sofiane Boufal		1.01€1165	1000€29			
Youssef En-Nesyri		1.01€1166	100€19			
Jack Grealish		1.01€1165	1000€13			
Kingsley Coman		1.01€1162	1000€27			
Ivan Perisic			1.01€1170			
Hakim Ziyech		1.01€1167	1000€15			
Andre Silva		1.01€1166	1000€22			
Mason Mount		1.01€1166	1000€23			
Luka Modric			1.01€1169			
Achraf Hakimi		1.01€1162	1000€32			
Ousmane Dembele	1.02€1162	2€120	100€22	1000€2		
James Maddison		1.01€1165	1000€30			
