Argentina	1.55£427	1.59£50	1.6£25	1.62£270	1.63£50	1.64£3
Saudi Arabia	1.93£3	1.95£558	2£50	2.04£8	2.06£44	2.12£500
Mexico	2.1£172	2.2£342	2.22£7	2.26£18	2.28£25	2.34£500
Poland	2.2£342	2.24£3	2.32£47	2.36£7	2.38£9	2.42£24
