Brazil	1.92£213	1.93£10	1.99£17	2.08£98	2.18£41	2.26£42
France	2.22£99	2.24£5	2.3£4	2.4£47	2.6£300	2.62£115
England	2.5£24	2.64£100	2.66£4	2.74£4	2.76£9	2.82£4
Netherlands	2.82£9	2.9£5	2.92£4	3.15£54	3.25£10	3.3£394
Spain	2.62£20	2.64£11	2.7£3	2.98£4	3£10	3.2£3
Argentina	2.96£51	3£20	3.05£2	3.4£10	3.75£10	5.8£4
Portugal	3.25£20	3.7£16	3.75£2	3.95£4	4£138	4.5£10
Germany	5.1£2	5.4£18	5.5£1	8£10	9£10	
Belgium	1.51£46	3£20	3.5£19	4.8£3	4.9£5	5£2
Uruguay	6£75	6.6£10	6.8£1	7.8£10	8£10	8.2£10
Denmark	5.5£1	6£3	6.2£2	7£10	8£10	15£3
Croatia	7£26	7.2£1	9.2£2	11£1	11.5£9	14£2
Japan	2.1£5	8£10	11£6	20£5	26£4	70£2
Serbia	9£25	10£1	11£92	12£17	17£2	
Poland	10£10	11£10	13£9	19£19	25£5	27£2
Switzerland	1.92£13	8£10	12.5£8	15£5	17.5£6	19£2
USA	8£11	11£10	12.5£10	14£20	19£10	20£15
Ecuador	10£10	12£7	14.5£1	18£63	19.5£1	20£7
Mexico	1.96£11	9£10	14.5£10	16£19	19.5£10	21£82
Wales	20£20	21£2	22£1	36£5	40£4	
Senegal	17£6	18£2	19£10	25£3	26£3	28£5
Morocco	2.08£6	20£15	26£4	32£2	34£1	48£2
Ghana	2.14£3	26£4	27£5	36£12	44£2	55£2
Australia		2.08£5	29£4	150£1	200£1	
Canada		2.08£5	17£10	50£100	80£5	
Tunisia	27£5	28£1	34£3	48£1		
Saudi Arabia	29£42	30£5	32£9	55£1	60£2	
Cameroon	2.12£4	26£4	40£5	90£4	95£6	130£2
South Korea		2.16£3	26£6	50£100	75£4	110£3
Iran		2.18£2	75£4	350£1	500£2	
Qatar		100£5	200£3	900£2		
Costa Rica	32£1	200£1	210£4	990£2		
