Netherlands	1.02£396	1.03£195	1.04£42	1.05£1774	1.06£95	1.07£390
Ecuador	1.52£91	1.53£237	1.54£2	1.56£67	1.57£28	1.6£73
Senegal	2.68£34	2.72£3	2.78£175	2.8£6	2.88£1	2.9£8
Qatar	22£35	23£4	24£2	32£17	34£1	36£8
