Brazil	3.35€34536	3.4€32924	3.45€11154	3.5€8478	3.55€3463	3.6€553
Argentina	5.8€121	6€13221	6.2€30799	6.4€22365	6.6€12663	6.8€450
France	6.2€2594	6.4€45106	6.6€25199	6.8€11897	7€24741	7.2€109
Spain	7.4€7650	7.6€12712	7.8€18266	8€9770	8.2€5293	8.4€46
England	9.8€1395	10€11799	10.5€17427	11€28360	11.5€14932	12€11802
Portugal	13.5€1215	14€5963	14.5€36	15€2196	15.5€170	16€170
Netherlands	21€354	22€422	23€2580	24€330	25€1606	26€617
Croatia	36€141	38€1004	40€1007	42€175	44€1492	46€932
Japan	80€2768	85€1089	90€1874	95€243	100€562	110€237
Switzerland	80€794	85€918	90€25	95€529	100€77	110€251
USA	120€632	130€613	140€586	150€48	160€288	180€69
Morocco	60€15	120€116	130€1178	140€517	150€480	160€278
Senegal	120€94	140€128	150€52	160€103	170€196	180€35
South Korea	270€36	280€24	290€76	300€48	310€484	320€87
Australia	260€100	270€40	280€99	300€646	310€18	330€91
Poland	330€169	340€58	360€28	370€14	380€17	450€21
