Denmark	1.57£2	1.6£94	1.61£10	1.72£500	1.73£97	1.75£11
Australia	2.7£65	2.72£47	2.74£3	2.94£7	3£100	3.4£19
Tunisia	23£13	24£1	25£2	29£6	30£13	32£11
