Uruguay	1.9€14	1.95€771	1.96€517	2.02€578	2.04€100	2.08€49
Ghana	2.24€80	2.28€173	2.38€419	2.68€17	2.96€13	3.55€20
South Korea	9.2€12	10€32	10.5€58	13€80	700€10	
