Argentina	1.41€550	1.42€39	1.43€671	1.45€78	1.47€37	1.5€41
France	2.72€228	2.74€12	2.8€20	2.88€62	2.9€116	2.96€115
Portugal	3.1€134	3.15€393	3.2€157	3.25€11	3.3€154	3.35€303
Croatia	3.2€58	3.3€1078	3.35€29	3.45€16	3.5€65	3.55€23
England	3.3€34	3.4€91	3.5€285	3.65€35	3.75€152	3.8€111
Morocco	12€48	15€102	15.5€20	17.5€88	18€24	18.5€31
