Uruguay	1.88€15	1.9€14	1.91€452	2.02€403	2.08€16	
Ghana	2.32€155	2.44€73	2.5€58	2.62€113	2.64€80	1000€4
South Korea	1.01€43	8.4€68	8.8€18	10.5€87	11€90	12.5€12
