Brazil	4.1£2397	4.2£27621	4.3£21009	4.4£7627	4.5£8732	4.6£9571
Argentina	7.8£3	8£562	8.2£29	8.4£766	8.6£1139	8.8£2
England	8£343	8.2£333	8.4£327	8.6£321	8.8£634	9£289
France	9.4£2000	9.6£5220	9.8£175	10£1863	10.5£8270	11£295
Spain	11£1955	11.5£5335	12£7705	12.5£2687	13£2570	13.5£16
Germany	12.5£4756	13£1191	13.5£9210	14£622	14.5£1763	15£61
Netherlands	14£519	14.5£430	15£2699	16£2142	16.5£1	17£181
Portugal	15.5£1016	16£2976	16.5£3197	17£953	17.5£813	18£397
Belgium	22£1505	23£3107	24£1071	25£262	26£1138	27£41
Denmark	32£655	34£1051	36£4644	38£893	40£942	42£450
Uruguay	40£318	42£411	44£549	46£506	48£475	50£390
Croatia	65£740	70£1015	75£784	80£141	85£379	90£16
Serbia	95£144	100£347	110£441	120£3	130£45	140£6
Switzerland	120£167	130£232	140£197	150£220	160£101	170£21
Ecuador	170£2	180£1	190£85	200£12	210£90	220£11
Mexico	180£3	190£27	200£42	210£1	220£10	230£88
USA	250£41	260£7	270£104	280£33	300£2	330£6
Senegal	180£20	230£90	250£206	280£53	290£100	300£78
Poland	240£43	250£82	290£3	320£14	330£25	340£16
Wales	360£18	370£13	380£13	430£5	440£50	450£5
Morocco	400£27	410£48	420£97	460£7	470£51	480£11
Australia	380£13	400£36	410£6	420£7	430£85	550£7
Japan	450£22	480£7	490£27	510£303	530£2	540£50
South Korea	630£86	640£10	660£9	720£2	730£5	740£1
Cameroon	710£16	720£14	750£1	770£11	780£5	800£1
Ghana	650£3	660£3	700£53	800£10	820£1	830£2
Canada	740£50	760£57	770£9	810£2	820£2	830£8
Qatar	610£2	750£5	1000£432			
Tunisia	710£4	720£1	1000£706			
Iran	300£2	580£49	1000£386			
Saudi Arabia	360£28	370£1	380£1	490£1	500£2	550£1
Costa Rica	200£1	600£1	1000£732			
