Spain				1.01€1896	1.02€497	1.65€72
Germany	1.27€282	1.28€19	1.29€346	1.3€1096	1.31€423	1.32€400
Japan	6.4€48	6.6€48	7.2€39	8.2€408	8.4€32	9.8€20
Costa Rica	6.2€100	9.4€54	9.6€30	12€292	1000€4	
