Brazil	2.1€243	2.12€60	2.14€45	2.2€88	2.24€114	2.26€58
France	3.15€175	3.25€540	3.35€12	3.45€14	3.5€2038	3.55€58
Argentina	3€5	3.25€242	3.3€24	3.7€122	3.8€11	3.85€58
Spain	3.7€730	3.75€114	3.8€25	4€72	1000€1	
England	4.6€11	4.7€105	4.8€157	5.2€23	5.4€120	5.5€21
Portugal	6€103	6.2€15	6.4€18	7.4€23	7.6€58	10€58
Netherlands	8€213	8.8€13	9.8€49	12€23	1000€1	
Croatia	12€16	12.5€40	13€36	700€7		
USA	38€12	40€26	48€14	700€10		
Morocco	32€6	40€11	42€24	50€82	700€6	
Japan	32€11	34€26	36€16	50€22	700€1	
Switzerland		26€23	34€25	38€121	50€41	
Poland		70€3	85€12	110€12		
Senegal	1.01€5	40€11	50€18	65€29	70€62	700€6
Australia	1.01€5	100€18	120€28	160€16		
South Korea	34€11	50€11	60€27	95€20	120€68	
