Brazil	3.6£977	3.65£11337	3.7£7962	3.75£3431	3.8£6814	3.85£14356
Spain	7.8£647	8£6060	8.2£1728	8.4£5226	8.6£2230	8.8£511
France	7.4£706	7.6£2004	7.8£1047	8£2301	8.2£4531	8.4£793
England	9.6£1965	9.8£955	10£4715	10.5£4672	11£2679	11.5£500
Argentina	9.8£513	10£11648	10.5£4474	11£5450	11.5£631	12£75
Portugal	13£1486	13.5£2482	14£4520	14.5£853	15£1298	15.5£77
Netherlands	15£12	15.5£3676	16£2031	16.5£2482	17£647	17.5£18
Belgium	25£211	26£2040	27£1194	28£941	29£121	30£33
Germany	28£325	29£514	30£727	32£1260	34£740	36£122
Denmark	46£4	48£42	50£1265	55£784	60£461	70£11
Uruguay	55£5	60£214	65£230	75£171	80£453	85£15
Croatia	95£1	100£891	110£393	120£17	130£194	140£140
Switzerland	100£553	110£39	120£92	130£33	140£20	150£6
Japan	70£22	100£36	110£73	140£54	150£24	160£12
Ecuador	100£10	120£2	130£513	140£9	150£179	160£41
Serbia	140£48	150£38	160£89	170£1	180£2	190£27
Mexico	150£20	200£3	220£21	240£2	260£38	270£86
USA	150£2	190£7	200£286	220£192	230£25	250£39
Senegal	270£1	330£75	340£3	380£50	390£1	420£6
Morocco	360£21	370£4	380£3	420£5	430£16	440£10
Saudi Arabia	310£50	350£111	360£10	540£2	550£2	570£1
Iran	410£1	420£76	430£8	470£3	480£1	500£6
Poland	210£2	220£7	230£72	240£3	260£2	270£1
South Korea	360£10	460£39	480£14	500£4	540£2	550£4
Canada	490£3	500£10	510£34	550£2	560£14	580£34
Wales	330£21	500£2	1000£491			
Tunisia	510£1	600£1	1000£337			
Cameroon	600£2	700£1	1000£501			
Ghana	430£2	880£30	1000£233			
Australia	430£3	440£1	450£3	500£10	580£5	600£7
Costa Rica	700£2	990£8	1000£793			
