France	1.25€2392	1.26€1171	1.27€258	1.28€79	1.29€543	1.3€141
Argentina	1.4€196	1.41€1094	1.42€360	1.43€258	1.44€400	1.46€12
Croatia	3.2€810	3.25€258	3.3€185	3.4€63	3.5€150	3.55€24
Morocco	4.4€466	4.5€232	4.6€78	4.7€257	4.8€91	5.3€148
