Argentina	1.49£500	1.55£216	1.57£507	1.59£12	1.6£274	1.61£134
Saudi Arabia	2.06£50	2.08£86	2.1£185	2.12£423	2.14£422	2.16£578
Mexico	1.82£11	2.1£173	2.2£348	2.26£214	2.28£79	2.3£45
Poland	2.2£348	2.24£3	2.26£314	2.32£167	2.34£77	2.38£44
