Portugal	1.08£583	1.09£504	1.1£106	1.11£409	1.13£6	1.14£610
Uruguay	1.59£300	1.65£3	1.67£351	1.72£485	1.73£6	1.74£3
South Korea	2.78£90	2.9£123	2.92£246	2.96£15	3£3	3.05£3
Ghana	5.6£78	5.7£1	5.8£1	6.4£1	6.8£17	7.2£65
