Brazil	1.62€27	1.7€66	1.8€29	1.81€55	1.83€210	1.92€23
Argentina	1.59€59	1.6€76	1.61€1192	1.74€23	1.75€243	1.77€46
France	1.8€18	1.9€63	1.91€25	2.08€15	2.12€54	2.2€70
England	2.46€22	2.54€206	2.6€26	2.8€23	2.92€137	9€3
Portugal	2.52€35	2.54€149	2.56€102	2.84€29	2.9€11	3.2€402
Netherlands	3.1€35	3.15€100	3.2€563	7.2€205	9€3	
Spain	2.8€58	2.82€35	2.84€134	2.88€22	2.9€30	3€11
Germany	3.1€46	3.15€28	3.35€14	3.5€910	3.7€11	4.5€11
Poland	14.5€11	15€75	15.5€17	32€201	38€11	40€1
USA	6.2€14	8€18	8.4€112	9.2€12	9.6€64	12€11
Croatia	7€20	9.4€11	10€74	10.5€201	11€79	12€11
Switzerland	10€34	10.5€79	11€19	14€20		
Belgium	12.5€11	13€36	14€21	18€15		
Morocco	10€17	12.5€19	13€49	15€8		
Senegal	13.5€61	15€18	15.5€13	21€195	22€69	38€1
Australia	15.5€13	19.5€14	25€64	48€132	50€3	
Serbia	16.5€39	17€55	19.5€15	23€17		
Uruguay	17.5€22	18.5€47	19€54	21€29	25€11	34€37
Ghana	20€11	28€11	40€30	80€8		
Japan	15€14	40€19	42€16	65€8		
South Korea	30€11	60€15	100€14	500€3		
Cameroon			1.01€12	980€11	990€2	
Costa Rica			1.02€10	500€1		
