Portugal	1.34€34	1.35€421	1.36€24	1.38€300	1.39€18	1.4€348
France	1.8€100	1.81€619	1.82€290	1.84€13	1.85€431	1.91€26
England	2.14€46	2.16€21	2.2€17	2.28€370	2.3€200	2.32€348
Morocco	3.4€290	3.5€58	3.6€60	4€29	4.3€21	4.4€48
