Spain	1.04£4000	1.06£5	1.07£502	1.09£14	1.1£35	1.11£18
Japan	1.34£500	1.36£12	1.38£672	1.41£25	1.42£55	1.43£51
Germany	2.82£163	2.84£6	2.88£21	2.92£361	2.98£3	3£5
Costa Rica	36£7	50£10	65£7	95£3	750£2	
