Argentina	2.86€4600	2.88€3319	2.9€920	2.92€4235	2.94€3121	2.96€4493
France	4.4€442	4.5€14408	4.6€5214	4.8€1129	4.9€2676	5€138
England	5.8€10031	5.9€3608	6€7859	6.2€14671	6.4€14586	6.6€1384
Portugal	5.8€12	6€14001	6.2€2015	6.4€8780	6.6€2150	6.8€465
Croatia	9.8€382	10€8461	10.5€3725	11€129	11.5€3392	12€3637
Morocco	34€77	36€561	38€725	40€409	42€1138	44€2171
