Denmark	1.5£1270	1.51£12	1.55£113	1.65£23	1.66£999	1.68£114
Australia	2.66£33	2.98£30	3£163	3.05£115	3.4£19	3.65£68
Tunisia		20£21	21£19	36£4	38£20	42£5
