Brazil	3.25€17588	3.3€18775	3.35€21173	3.4€11767	3.45€15512	3.5€4367
Argentina	6€12131	6.2€41011	6.4€22084	6.6€17204	6.8€11545	7€1577
France	6.2€6648	6.4€46526	6.6€8315	6.8€11183	7€15998	7.2€5426
Spain	7.2€14794	7.4€19458	7.6€10553	7.8€8361	8€5974	8.2€98
England	10€6303	10.5€26887	11€29356	11.5€17977	12€11743	12.5€75
Portugal	14€723	14.5€5031	15€8302	15.5€2879	16€793	16.5€75
Netherlands	21€395	22€177	23€1101	25€1282	26€474	27€296
Croatia	38€1643	40€1572	42€45	44€684	46€2327	48€417
Japan	70€1100	75€707	80€733	90€414	95€268	100€1337
Uruguay	110€584	120€461	130€301	140€545	150€285	160€31
USA	90€14	110€340	120€353	130€18	140€300	150€94
Morocco	55€13	100€69	120€215	150€381	160€531	170€44
Switzerland	130€148	140€632	150€301	170€230	180€128	1000€6
Senegal	150€134	160€184	170€123	180€11	190€310	200€13
Serbia	170€527	180€142	200€459	230€43	240€183	260€12
Australia	160€13	300€154	320€375	340€27	350€29	370€15
Poland	270€38	290€70	300€365	330€12	340€123	400€14
Ghana	360€96	370€210	380€18	430€17	450€11	480€12
Cameroon	160€12	560€222	1000€801			
South Korea	470€19	750€54	1000€352			
