France	1.02£7505	1.03£3242	1.04£135	1.05£5370	1.2£25	1.5£11
Denmark	1.47£3	1.49£3	1.5£2	1.67£500	1.68£2	1.75£3
Tunisia	3.85£28	3.9£32	3.95£61	4£5	4.1£66	
Australia	7£429	7.2£1	7.4£184	8£1	8.2£86	14£2
