Denmark	1.54€101	1.55€101	1.56€124	1.7€578	1.71€168	1.75€97
Australia	2.8€253	2.82€141	2.84€74	3.15€578	3.2€63	3.25€64
Tunisia	19.5€24	20€16	21€28	44€18	50€12	55€12
