Denmark	1.53€100	1.55€153	1.58€580	1.63€43	1.66€114	1.67€26
Australia	2.82€161	2.84€43	2.86€17	3.05€40	3.4€31	3.65€80
Tunisia	19.5€26	20€16	29€17	700€3		
