Switzerland	1.6€200	1.64€17	1.65€571	1.69€19	1.72€194	1.74€62
Serbia	1.44€63	2.54€18	2.7€285	2.76€346	2.8€57	4.4€14
Cameroon	21€32	25€20	26€13	38€154	700€4	
