Brazil	3.3€323	3.35€5695	3.4€7417	3.45€5443	3.5€1971	3.55€5099
France	5.7€4517	5.8€17111	5.9€21580	6€22337	6.2€4880	6.4€600
Argentina	6.4€2417	6.6€5352	6.8€4173	7€5743	7.2€2139	7.4€197
England	7.8€5918	8€42593	8.2€16709	8.4€7423	8.6€11666	8.8€1067
Spain	9€4112	9.2€4028	9.4€3111	9.6€205	9.8€383	10€357
Netherlands	14.5€353	15€702	15.5€3149	16€1742	16.5€1494	17€1229
Portugal	15€2375	15.5€3369	16€2978	17€1799	17.5€1445	19.5€15
Croatia	38€70	40€3788	42€2992	44€18	46€1152	48€468
Japan	90€262	95€1019	100€255	120€288	130€292	140€291
Switzerland	90€301	95€358	100€667	110€429	120€408	130€291
Morocco	100€1165	110€889	120€361	140€591	150€56	160€323
South Korea	240€109	250€45	260€33	280€18	290€17	300€16
