Brazil	2.6£153	2.62£20	2.64£5	2.7£827	2.72£4	2.84£3
France	3.6£26	3.65£82	3.75£20	3.8£91	3.85£120	3.9£10
Spain	3.85£20	3.9£1	4.1£70	4.7£332	4.9£40	5£20
Argentina	4.8£12	5£26	5.2£14	5.5£20	5.9£3	6£40
England	5.4£6	5.5£4	5.6£1	6£6	6.2£24	6.4£10
Portugal	6.2£2	7£79	7.2£1	7.6£18	990£3	
Germany	1.97£21	7£84	7.2£32	8.4£7	8.6£20	8.8£5
Netherlands	7.6£5	7.8£2	8£2	8.4£20	990£3	
Croatia	19.5£22	20£15	21£16	28£10	29£2	30£5
Belgium	22£73	23£5	24£8	32£10	1000£1	
Denmark	22£74	23£15	25£13	38£5	40£10	
Uruguay	17£29	22£13	26£19	34£5	36£5	
Morocco	34£5	40£10	50£10	80£2	95£1	
Switzerland	28£25	40£20	42£5	48£2	50£31	
Ecuador	17£9	40£10	50£5	55£3	65£5	
Serbia	34£5	50£10	55£6	70£1	75£5	
Poland	60£9	70£5	75£5	120£5		
USA	34£10	60£2	75£12	95£1	100£5	
Japan	50£7	90£10	95£1	120£1	200£5	
Senegal	50£15	100£10	110£1	160£5	200£1	
Ghana		2.64£1	100£20	390£1		
Saudi Arabia	2.64£1	100£10	110£5	500£1		
Mexico	42£1	44£1	100£10	250£1		
Iran	2.66£1	100£10	150£2	180£3	200£3	350£2
South Korea	100£12	120£2	130£1	350£2		
Australia	100£10	130£2	140£1			
Cameroon	2.66£1	100£10	150£10			
Wales		65£28	200£2	990£1		
Tunisia	55£5	100£10	250£2			
Costa Rica			300£5			
