Brazil	4.2£21972	4.3£36398	4.4£16155	4.5£12343	4.6£4300	4.7£4141
France	7.6£1332	7.8£1519	8£12571	8.2£5869	8.4£5439	8.6£152
England	7.8£861	8£6158	8.2£5626	8.4£5972	8.6£4446	8.8£501
Spain	8£1647	8.2£1519	8.4£6906	8.6£7186	8.8£510	9£912
Argentina	9.6£114	9.8£10	10£6529	10.5£2852	11£2701	11.5£450
Netherlands	13.5£210	14£4070	14.5£5017	15£2420	15.5£2020	16£402
Portugal	15.5£150	16£3701	16.5£6985	17£350	17.5£1055	18£392
Belgium	21£967	22£1874	23£2657	24£300	25£355	26£15
Germany	25£448	26£591	27£716	28£555	29£463	30£144
Uruguay	40£737	42£694	44£60	46£1698	48£516	50£397
Denmark	46£157	48£28	50£1898	55£189	60£418	65£100
Croatia	90£50	95£46	100£905	110£11	120£86	130£47
Serbia	90£70	95£87	100£215	110£292	120£25	130£50
Japan	100£2	110£5	120£145	130£5	140£392	150£20
Switzerland	120£2	130£639	140£117	150£176	160£432	170£18
Ecuador	150£1	160£203	170£10	180£51	190£27	200£77
Mexico	220£23	230£30	240£33	250£12	260£15	270£25
Morocco	230£11	240£20	250£22	300£7	310£19	330£25
Senegal	250£142	260£26	270£65	290£55	300£104	310£6
USA	290£19	300£35	310£23	320£10	330£16	340£5
Poland	350£7	360£21	370£13	380£2	390£8	400£5
Wales	360£65	370£20	380£8	400£12	410£7	420£15
Saudi Arabia	360£23	380£47	390£1	420£17	430£20	440£12
Canada	320£82	330£24	340£1	390£1	400£1	410£2
Ghana	550£1	600£162	610£27	630£70	650£1	690£5
South Korea	570£2	610£106	620£81	650£5	670£2	690£4
Cameroon	600£172	610£54	620£14	690£2	700£2	710£1
Tunisia	800£49	810£57	820£7	890£3	900£10	910£5
Qatar	600£20	610£2	1000£738			
Iran	2£2	300£2	1000£692			
Australia	910£3	920£3	1000£48			
Costa Rica	700£2	990£6	1000£732			
