Argentina	1.92€10774	1.93€7016	1.94€4630	1.95€5029	1.96€4393	1.97€54
France	2.34€2235	2.36€3005	2.38€11968	2.4€3843	2.42€5721	2.44€4981
Morocco	14€4229	14.5€12412	15€2745	15.5€8831	16€6609	16.5€1627
