Uruguay	1.9€14	1.95€770	1.96€476	1.97€421	2.08€18	2.3€33
Ghana	2.1€416	2.24€113	2.26€458	2.68€74	2.7€36	2.72€63
South Korea	7.8€67	8.4€102	9€72	12€13	1000€6	
