Brazil	2.14€35	2.16€112	2.18€37	2.24€49	2.26€49	2.32€97
France	3€211	3.05€230	3.25€18	3.35€23	3.4€458	3.45€475
Argentina	3.25€12	3.35€31	3.4€272	3.5€325	3.8€355	3.9€14
Spain	3.9€27	3.95€104	4€61	4.3€62	1000€1	
England	4.6€20	4.7€81	4.8€118	4.9€45	5.4€56	5.5€21
Portugal	5.7€21	5.8€19	6.4€76	1000€10		
Netherlands	1.01€1173	6.2€125	7€99	7.8€304	8.6€72	10€293
Croatia	11.5€41	12€82	14€111	17€37	700€4	
Switzerland	23€26	26€35	27€17	36€131	50€43	
Japan	23€17	25€20	26€141	40€16	50€17	
Morocco	1.01€1167	30€25	44€13	70€14		
Senegal	44€25	46€19	50€24	75€100	700€5	
South Korea	34€21	65€39	80€15	110€38	120€76	700€2
Poland	1.01€1167	50€17	65€106	540€61		
