Argentina	1.21£110	1.22£170	1.23£319	1.24£280	1.25£360	1.26£673
Poland	1.44£42	1.45£3	1.46£289	1.47£105	1.48£37	1.49£2
Mexico	3.8£19	3.85£145	3.9£73	4£15	4.2£93	4.3£7
Saudi Arabia	3.75£393	3.8£3	3.85£175	3.95£2	4£102	4.1£172
