Morocco	1.09€578	1.1€43	1.11€97	1.14€596		
Croatia	1.2€18	1.3€584	1.38€123	1.45€125	1.54€11	1.55€578
Belgium	1.16€1429	1.72€81	2.5€239	2.6€28	2.62€50	2.68€50
