Morocco	1.09€580	1.1€136	1.11€69	1.13€169	1000€9	
Croatia	1.3€580	1.31€20	1.34€16	1.58€168	1.59€580	1000€4
Belgium	2.56€22	2.6€356	2.62€406	2.7€36	3€34	
