France	1.25€2395	1.26€1183	1.27€1298	1.28€286	1.29€1118	1.3€25
Argentina	1.43€1065	1.44€176	1.45€519	1.49€349	1.52€57	1.85€57
Croatia	2.72€61	2.9€13	3.2€630	3.3€87	3.35€123	3.4€121
Morocco	4.4€467	4.5€215	4.6€89	4.8€57	4.9€27	5.3€144
