Kylian Mbappe	3.25€23	3.3€135	3.35€350	3.5€389	3.55€464	3.6€69
Lionel Messi	8.6€91	9€124	9.2€118	9.6€76	10.5€139	15.5€45
Richarlison	11.5€296	12€35	12.5€40	14€23	16€16	16.5€28
Marcus Rashford	15.5€27	16€93	16.5€57	17.5€15	18€27	18.5€64
Cody Gakpo	13.5€14	14€23	14.5€15	17€11	19€47	20€23
Alvaro Morata	19.5€42	20€36	22€17	26€11	28€25	
Cristiano Ronaldo	27€16	29€27	30€31	32€35	46€20	100€12
Ferran Torres	28€11	29€15	32€22	40€18	750€11	1000€5
Olivier Giroud	25€25	30€48	34€18	46€20	95€4	
Bruno Fernandes	36€74	42€39	44€27	60€12	70€11	100€17
Bukayo Saka	46€19	48€31	50€44	250€13		
Andrej Kramaric	50€12	55€35	70€26	120€12	1000€13	
Vinicius Junior	50€11	55€16	60€36	270€12	1000€3	
Harry Kane	55€24	65€13	70€21	190€12	990€2	
Niclas Fullkrug	60€23	65€30	70€13	870€7		
Darwin Nunez	40€23	90€12	150€12	1000€9		
Robert Lewandowski	15€40	80€22	95€15	390€11	1000€3	
Romelu Lukaku	2€15	85€15	100€15	1000€8		
Neymar	75€33	85€25	90€22	180€11	320€1	
Phil Foden	80€19	100€11	110€97	1000€4		
Timothy Weah	1.01€1160	50€115	100€20			
Lautaro Martinez	18€22	75€12	95€11	250€22	680€1	
Kai Havertz	1.02€238	100€11	120€15	490€2		
Aleksandar Mitrovic	1.01€1165	48€17	100€15	440€4		
Rafael Leao		1.01€1167	75€19			
Antoine Griezmann	1.01€1164	100€11	110€13	1000€4		
Raphinha	2.02€583	90€19	160€13	1000€6		
Raheem Sterling	1.02€235	85€13	150€13			
Joao Felix	75€17	120€24	170€20	1000€3		
Gabriel Jesus	60€11	85€16	170€13	930€4		
Serge Gnabry	100€11	130€12	170€12	1000€5		
Jamal Musiala	1.01€1164	100€11	140€12	970€11		
Ismaila Sarr	1.01€1163	100€17	200€15			
Thomas Muller		1.01€1158	100€34			
Jack Grealish	40€28	100€20	220€18			
Memphis Depay	4€22	11€11	42€21			
Breel Embolo		1.01€1166	85€22	1000€5		
Luis Suarez	100€11	110€59	170€14	340€6		
Dusan Vlahovic	1.01€1161	100€81	110€23			
Julian Alvarez	1.01€1159	100€11	280€14			
Ansu Fati		1.01€1158	100€20			
Pedro Abreu dos Santos		1.01€1160	55€19			
Leroy Sane		1.01€1161	75€21	600€7		
Marko Livaja		2€9	100€14	1000€6		
Dani Olmo	2€5	75€11	200€13			
Gabriel Martinelli		1.01€1161	100€21	1000€1		
Edinson Cavani	1.01€1159	3€294	120€21			
Kevin De Bruyne	12€19	100€11	320€11			
Ivan Perisic	1.01€1156	100€11	130€13			
Christian Eriksen	100€15	140€21	310€11			
Christian Pulisic	1.01€1157	90€22	350€12			
Kasper Dolberg	1.01€1163	100€17	380€16			
Marco Asensio	2€10	90€19	300€17	1000€1		
Leandro Trossard		1.01€1160	100€18			
Michy Batshuayi	4.8€12	100€11	120€14			
Angel Di Maria	1.01€1158	100€11	260€16	990€1		
Andre Silva		1.01€1156	2€13			
Boulaye Dia	1.01€1156	100€17	540€15			
Skov Olsen	1.01€1165	120€22	500€14			
Pablo Sarabia		1.01€1159	100€21			
Son Heung-Min		1.01€1156	200€16			
Enner Valencia	220€26	250€119	310€12			
Ousmane Dembele		1.01€1160	100€18			
Luka Modric	1.01€1156	100€11	260€13			
Mohammed Kudus	2€581	100€15	220€13			
Youssef En-Nesyri		1.01€1157	100€20			
Steven Bergwijn	1.01€1165	42€11	100€22			
Youssoufa Moukoko	1.01€1156	2€14	700€23			
Bernardo Silva	1.01€1159	100€22	270€15			
Lois Openda	1.01€1156	100€11	560€11			
Hirving Lozano	1.01€1157	100€11	220€15			
Karim Benzema	1.01€1156	2€13	110€12			
Diogo Jota		1.01€1156	1000€47			
Timo Werner		1.01€1156	1000€27			
Lucas Ocampos		1.01€1156	1000€82			
Roberto Firmino		1.01€1156	1000€66			
Sadio Mane		1.01€1156	1000€21			
Eden Hazard		1.01€1159	100€17			
Georginio Wijnaldum		1.01€1156	1000€76			
Haris Seferovic		1.01€1157	1000€49			
Raul Jimenez		1.01€1156	1000€20			
Gerard Moreno		1.01€1156	1000€78			
Paul Pogba		1.01€1156	1000€79			
Vincent Aboubakar	1.02€1156	2€115	1000€17			
Dries Mertens		1.01€1156	1000€30			
Sofiane Boufal		1.01€1160	1000€17			
Yussuf Poulsen		1.01€1159	1000€59			
Ante Rebic		1.01€1156	1000€77			
Wahbi Khazri		1.01€1156	1000€80			
Martin Braithwaite		1.01€1159	1000€59			
Kingsley Coman	300€13	550€20	1000€33			
Wout Weghorst		1.01€1159	100€19			
Marco Reus		1.01€1156	1000€69			
Gio Reyna		1.01€1156	1000€78			
Takumi Minamino		1.01€1158	1000€44			
Donyell Malen		1.01€1156	1000€65			
Luuk de Jong		1.01€1156	1000€49			
Daryl Dike		1.01€1156	1000€79			
Karl Toko Ekambi		1.01€1156	1000€38			
Ollie Watkins		1.01€1156	1000€76			
Dusan Tadic	1.01€1159	100€11	120€13			
Alexis Vega		1.01€1156	1000€20			
Toni Kroos		1.01€1156	1000€76			
Hakim Ziyech	1.01€1159	100€11	250€12			
Cyle Larin		1.01€1157	100€16			
Krzysztof Piatek		1.01€1157	1000€64			
Michael Estrada		1.01€1156	1000€18			
Jonas Wind		1.01€1160	1000€48			
Mason Mount		1.01€1159	100€19			
Leon Goretzka		1.01€1156	1000€70			
Hwang Hee-Chan		1.01€1156	1000€80			
Yuya Osako		1.01€1156	1000€74			
Xherdan Shaqiri		1.01€1156	1000€57			
Mario Gavranovic		1.01€1157	1000€82			
Andre Ayew		1.01€1158	1000€21			
Stephen Eustaquio		1.01€1156	1000€82			
Achraf Hakimi		1.01€1156	1000€77			
Gyasi Zardes		1.01€1156	1000€82			
Paul Arriola		1.01€1156	1000€82			
Salem Al-Dawsari		1.01€1164	950€11			
Seifeddine Jaziri		1.01€1156	1000€80			
Thomas Partey		1.01€1156	1000€81			
