Brazil	4.2€24131	4.3€86140	4.4€24133	4.5€42927	4.6€22786	4.7€20922
Argentina	6.4€2457	6.6€2549	6.8€36999	7€12196	7.2€21808	7.4€1597
France	9.6€2638	9.8€2529	10€25796	10.5€13755	11€1857	11.5€86
Spain	10.5€24725	11€10372	11.5€32286	12€10079	12.5€4735	13€356
England	11€20357	11.5€24991	12€20154	12.5€6736	13€1914	13.5€100
Germany	12€8468	12.5€4028	13€39140	13.5€15765	14€4956	14.5€156
Netherlands	13.5€285	14€378	14.5€15282	15.5€9642	16€18722	16.5€560
Portugal	15€61	15.5€774	16€2849	16.5€1143	17€5660	17.5€3921
Belgium	21€2727	22€14204	23€2926	24€3801	25€133	26€75
Denmark	28€6070	29€270	30€10051	32€3184	34€2666	36€1229
Uruguay	44€186	46€2862	48€2250	50€3229	55€4016	60€168
Croatia	60€3751	65€3374	70€2011	75€2237	80€411	90€44
Serbia	60€66	90€57	95€81	100€470	110€338	120€792
Switzerland	110€79	120€189	130€285	150€628	160€21	170€25
Senegal	140€17	150€119	160€861	170€358	180€28	190€49
Mexico	120€23	150€11	160€29	210€23	220€14	230€14
USA	210€52	220€53	230€109	250€27	260€27	270€91
Ecuador	210€44	230€14	240€226	250€66	260€139	280€108
Poland	270€174	280€548	290€366	300€19	310€82	330€11
Wales	250€14	270€17	350€171	390€70	400€62	410€11
Morocco	400€34	410€39	420€27	430€21	440€44	450€59
Japan	490€13	500€164	510€51	530€17	540€26	580€16
South Korea	580€123	600€21	610€100	630€11	680€42	760€12
Australia	440€19	450€23	480€188	520€14	600€31	760€19
Iran	610€29	620€39	630€34	640€33	660€27	700€100
Qatar	570€17	630€30	660€38	700€52	720€31	800€85
Ghana	660€17	690€63	700€176	720€21	760€40	1000€28
Cameroon	470€14	510€16	550€81	720€96	780€43	1000€14
Canada	740€58	750€192	760€154	790€37	800€25	830€12
Tunisia	630€13	730€11	1000€1497			
Saudi Arabia	2€13810	600€19	1000€816			
Costa Rica	510€12	600€12	1000€1599			
