Brazil		1.01£13341	1.02£2524	1.03£63	1.05£8	1.06£718
Switzerland	1.57£36	1.58£500	1.64£45	1.67£43	1.7£88	1.71£41
Serbia	2.5£26	2.52£332	2.54£169	2.58£47	2.6£26	2.62£99
Cameroon	15.5£2	20£11	23£3	30£96	50£1	
