Brazil	1.08£4067	1.09£9177	1.1£9532	1.11£8455	1.12£54	1.13£5238
Switzerland	2.06£3	2.08£5	2.1£320	2.16£19	2.18£65	2.2£63
Serbia	2.06£4	2.08£2	2.1£66	2.12£10	2.18£60	2.2£401
Cameroon	5.8£8	6£6	6.4£271	6.6£1	6.8£55	7£3
