Kylian Mbappe	1.53€206	1.54€411	1.55€332	1.57€527	1.58€1243	1.59€382
Lionel Messi	4.3€611	4.4€247	4.5€254	4.6€484	4.7€88	4.8€78
Olivier Giroud	8.4€39	8.6€272	8.8€67	9€248	9.2€279	9.6€62
Julian Alvarez	26€19	150€14	160€41	180€25	280€12	700€5
Hakim Ziyech	1.01€1167	100€11	150€18			
Andrej Kramaric	180€21	190€34	200€58	270€26	800€11	
Youssef En-Nesyri	210€14	220€20	230€25	350€17	900€39	1000€3
Antoine Griezmann	250€13	420€17	500€46	1000€7		
Luka Modric	230€24	240€33	250€59	1000€6		
Lautaro Martinez	2.02€40	18€27	500€22			
Ivan Perisic	1.01€1171	510€15	550€65	1000€12		
Marko Livaja	2€10	700€14	720€22			
Angel Di Maria		1.01€1164	1000€30			
Sofiane Boufal		1.01€1166	1000€53			
Kingsley Coman		1.01€1163	1000€39			
Achraf Hakimi		1.01€1163	1000€48			
Ousmane Dembele	2€124	300€17	1000€39			
