Argentina	1.54£280	1.55£23	1.57£42	1.58£599	1.59£223	1.61£7
Saudi Arabia	1.98£3	2£4	2.04£52	2.06£369	2.08£468	2.1£17
Mexico	2.1£172	2.12£3	2.2£335	2.24£29	2.28£15	2.3£500
Poland	2.2£420	2.22£343	2.36£372	2.4£27	2.44£14	2.48£1
