Belgium	1.12£592	1.13£4	1.15£25	1.18£558	1.19£1	1.2£55
Croatia	1.79£12	1.85£473	1.87£1	1.97£5	1.98£9	2.04£502
Morocco	2.5£200	2.7£21	2.72£4	2.8£8	2.98£9	3.1£5
Canada	3.25£7	3.9£218	3.95£173	4.2£28	4.3£10	4.5£2
