Belgium	1.23£193	1.24£4900	1.25£40	1.27£1029	1.3£1437	1.31£265
Croatia	1.52£21	1.56£302	1.58£571	1.6£38	1.61£23	1.62£23
Morocco	2.82£3	2.84£129	2.86£15	3.05£239	3.1£206	3.2£9
Canada	3.9£2	4£140	4.1£15	4.4£7	4.5£192	4.6£9
