Brazil	1.37€309	1.38€2196	1.39€1080	1.4€85	1.41€108	1.44€200
Argentina	1.62€35	1.63€418	1.64€23	1.67€112	1.68€109	1000€8
France	1.83€57	1.85€11	1.86€101	1.88€142	3.6€8	
Spain	1.99€35	2€513	2.02€186	2.22€27	2.7€125	
England	2.6€46	2.62€139	2.64€38	2.66€16	2.7€29	2.74€23
Netherlands	2.5€497	2.52€52	2.54€129	2.62€59	2.64€24	2.7€384
Portugal	2.88€46	2.9€272	2.94€19	2.98€65	3.1€11	310€13
Croatia	5€42	5.1€11	5.2€45	5.8€11	5.9€164	
Switzerland	8€91	8.4€23	8.8€164	9€25	9.4€6	
Japan	10.5€71	11€14	12€113	13.5€142	140€8	
Morocco	10€31	10.5€75	11€125	13.5€132	16€14	26€12
Senegal	14.5€34	15€12	16€19	20€60	27€14	38€1
South Korea	1.01€1174	20€27	21€30	24€109	30€38	34€5
Poland	19€40	22€12	24€29	32€168	50€10	
