Brazil	1.36€232	1.37€98	1.38€92	1.43€33	1.44€463	1.54€13
Argentina	1.55€107	1.57€58	1.63€49	1.66€23	1.67€278	1.72€23
France	1.78€161	1.79€48	1.81€118	1.91€27	1.92€17	1.93€617
Spain	1.99€41	2€483	2.02€43	2.12€19	2.14€29	2.16€23
England	2.5€95	2.64€35	2.66€109	2.9€15		
Portugal	2.8€39	2.84€35	2.86€199	3.15€21	3.2€13	3.4€26
Netherlands	2.5€23	3.4€148	3.45€72	3.85€11	3.9€213	4.1€11
Croatia		5€45	5.1€12	5.9€96	6€39	8€11
USA	8€18	8.8€11	9.2€26	11.5€29	18€67	
Japan	11€11	11.5€31	12€86	28€15		
Switzerland	7.4€15	8€22	8.2€85	9€52	9.6€494	13€102
Morocco	10€26	11€68	11.5€18	14€14	14.5€50	17€25
Senegal		8€27	15.5€18	19€18	20€51	38€12
Poland	19€21	19.5€29	25€14	32€5		
Australia	11€8	21€17	32€16	46€10		
South Korea	15€34	19.5€11	20€31	30€32	38€50	
